feature_id,Adipocyte,Cardiomyocyte,Cycling cells,Endothelial,Fibroblast,Lymphoid,Mast,Myeloid,Neuronal,Pericyte,vSMCs
ENSG00000237491,0.0005467608,0.1048566,0.19568683,0.048186876,0.10371681,0.05019431,0.053682867,0.050663773,0.064783335,0.048927207,0.07820486
ENSG00000228794,0.3173442,0.7975749,0.101370744,0.053967413,0.0503115,0.035879493,0.054875117,0.051088803,0.03609312,0.03578318,0.07369646
ENSG00000188976,0.31610584,0.1571064,0.12583373,0.036427747,0.09478143,0.07079351,0.054115742,0.063779935,0.033912998,0.041618973,0.1587754
ENSG00000187642,0.00052833743,0.44957572,0.038499314,0.007592404,0.0063632173,0.010578179,0.057393555,0.012874876,0.01041426,0.00566558,0.015489446
ENSG00000188290,0.00054344896,0.13426626,0.033287305,0.093128935,0.10547741,0.044350587,0.07779082,0.016139269,0.04554488,0.43246764,0.44440362
ENSG00000187608,0.0005399446,0.06591743,0.03782668,0.07986091,0.019064195,0.022190835,0.054709993,0.009519065,0.030268753,0.051775012,0.05623188
ENSG00000131591,0.0005294889,0.16206217,0.15588276,0.047765955,0.07776005,0.06539916,0.08646747,0.06356583,0.08803869,0.03581564,0.077345856
ENSG00000078808,0.33043274,0.16723303,0.07633194,0.080692865,0.0561084,0.07707969,0.0005335322,0.09317134,0.05757661,0.048680454,0.11852449
ENSG00000160087,0.00053016085,0.18936615,0.108437784,0.056942478,0.08251169,0.084360726,0.119865425,0.09260681,0.06288792,0.03118015,0.045439463
ENSG00000131584,0.00053754315,0.22968517,0.21676031,0.04307306,0.0715315,0.023461068,0.05387185,0.059992015,0.036276184,0.039737105,0.044615738
ENSG00000127054,0.30855477,0.27474195,0.14670514,0.031781964,0.05942232,0.03620862,0.0005268054,0.05329472,0.044431858,0.05770982,0.066729784
ENSG00000224051,0.00053431856,0.08482499,0.064127244,0.00847385,0.0062928116,0.011625131,0.0005392218,0.0045734313,0.018414224,0.008616065,0.017557207
ENSG00000107404,0.0005404992,0.08776149,0.03819166,0.020511188,0.021450773,0.016482951,0.00054629135,0.020721441,0.010959507,0.017227944,0.037595514
ENSG00000162576,0.34889743,0.006842206,0.036842916,0.008220029,0.12252357,0.011451017,0.0005251885,0.015159333,0.14066434,0.030272422,0.09007121
ENSG00000175756,0.0005391787,0.08331212,0.059148133,0.054952458,0.04981128,0.04338061,0.055792537,0.034544796,0.068038836,0.061881546,0.034418553
